TDWG_name,TDWG_code,TDWG_L2,TDWG_continent,Country,Plants,Ants,Amphibians,Reptiles,Fish,Birds,Mammals,Spiders,GeodAREA,mainl,COASTAL,DistMainl,popdens2000,GDPpcRegion,bio_1_MEAN,bio_12_MEAN,LAT,LON,mean_110_plants,completeness_ants,mean_110_amphs,mean_110_mammals,mean_110_birds
Bahamas,81_BAH_OO,81,America_S,Bahamas,45.0,26.0,4.0,11.0,4.0,13,10,6.0,12812.95752,ISL,1,104680.4329,17.44358153,21940.7,251.7671777,1040.366579,24.1666829,-76.5004385,3.15442851,100.0,7.929973936,21.96794598,28.52371998
Cuba,81_CUB_OO,81,America_S,Cuba,542.0,25.0,1.0,6.0,16.0,13,28,15.0,109977.7393,ISL,1,199159.9073,99.27624372,5702.0,250.4276741,1328.684941,21.62012559,-79.03522543,9.459073709,95.5,24.14076656,13.00563397,34.99927032
Madagascar,29_MDG_OO,29,Africa,Madagascar,517.0,44.0,2.0,7.0,26.0,4,16,7.0,592996.4101,ISL,1,415606.4571,27.15092265,414.1,228.8273005,1383.706731,-19.37352737,46.70598974,22.76800541,96.7,9.982016746,7.757507639,23.97946573
Philippines,42_PHI_OO,42,Asia_Trop,Philippines,628.0,21.0,4.0,3.0,42.0,11,14,5.0,294706.1884,ISL,1,510398.5544,246.7037795,3193.63,254.6001803,2549.590033,11.74740395,122.873632,4.695677579,98.0,43.14636525,30.696935,27.16737791
Sri_Lanka,40_SRL_OO,40,Asia_Trop,Sri_Lanka,365.0,18.0,1.0,1.0,16.0,2,9,7.0,66288.51427,ISL,1,28139.25676,294.5038687,4065.56,265.1706852,1877.459435,7.612357088,80.70426571,4.600190535,100.0,9.121496305,27.30417654,53.03006903
Taiwan,38_TAI_OO,38,Asia_Temp,Taiwan,607.0,19.0,3.0,7.0,30.0,32,9,5.0,36163.45679,ISL,1,135051.5526,584.4356559,26692.99,191.45637,2509.290953,23.74833247,120.9594018,100.0,98.7,77.90331974,47.12955525,57.29989698
Tasmania,50_TAS_OO,50,Australasia,Australia,861.0,1.0,0.0,1.0,8.0,22,21,5.0,68502.9534,ISL,1,81036.90835,6.483922721,32602.0,102.7549489,1313.050604,-41.94278479,146.6009979,57.81941282,100.0,89.61112437,82.40667653,88.05325952
