TDWG_name,TDWG_code,TDWG_L2,TDWG_continent,Country,Plants,Ants,Amphibians,Reptiles,Fish,Birds,Mammals,Spiders,GeodAREA,mainl,COASTAL,DistMainl,popdens2000,GDPpcRegion,bio_1_MEAN,bio_12_MEAN,LAT,LON,mean_110_plants,completeness_ants,mean_110_amphs,mean_110_mammals,mean_110_birds
San_Luis,85_AGW_SL,85,America_S,Argentina,93,NA,0,0,4,1,11,NA,77386.18129,MAINL,0,NA,4.816423825,9679,164.8071953,504.6382088,-33.75647931,-66.02890863,9.591932356,79.2,26.56622852,15.4638301,13.65784234
Tucuman,85_AGW_TU,85,America_S,Argentina,130,1,0,0,1,1,9,1,23080.71736,MAINL,0,NA,58.68791446,4594,174.9295672,666.8210206,-26.94387535,-65.37843873,58.01468513,96.4,35.77909865,24.5860459,16.20166231
Alabama,78_ALA_OO,78,America_N,USA,1124,27,1,5,7,9,9,18,134428.5044,MAINL,1,NA,33.3821555,34711,169.6995874,1446.02262,32.79389912,-86.82906784,47.16011478,94.3,47.62361109,21.83417455,86.95421546
Albania,13_ALB_OO,13,Europe,Albania,106,NA,0,0,8,1,6,2,28676.78069,MAINL,1,NA,105.2618722,4094.4,114.3979274,1145.589113,41.14254637,20.06837242,8.793993884,75.7,14.50759712,12.26811511,38.56817266
Aldabra,29_ALD_OO,29,Africa,Seychelles,120,NA,0,1,NA,5,5,NA,183.0711492,ISL,1,631219.7394,0,NA,260.0790698,1074.223256,-9.412807798,46.38345351,NA,NA,NA,NA,NA
Algeria,20_ALG_OO,20,Africa,Algeria,328,9,0,0,5,3,4,1,2317476.843,MAINL,1,NA,13.00005576,5988.78,229.5126019,80.00325379,28.1633545,2.632362328,0.559174311,94.9,5.013973819,0.784200603,1.102240539
Altay,30_ALT_OO,30,Asia_Temp,Russia,84,NA,NA,NA,NA,0,5,NA,263325.7894,MAINL,0,NA,11.41035547,6244,5.471859779,443.9736601,51.96816239,84.13073238,2.38343145,NA,5.746684036,1.506648979,2.082495323
Aleutian_Is.,70_ALU_OO,70,America_N,Aleutian_Is.,NA,NA,NA,NA,NA,1,8,NA,11052.04266,ISL,1,127793.2375,0.173116354,NA,38.45036869,1168.064663,52.67162309,-166.8815414,NA,NA,NA,22.95288486,9.078894472
Amur,31_AMU_OO,31,Asia_Temp,Russia,NA,NA,NA,NA,NA,1,4,NA,361576.5967,MAINL,1,NA,2.754577708,12827,-48.63130087,576.6094056,53.39992279,127.7254487,0.05526293,NA,3.534141808,0.336880713,0.151705527
Andaman_Is.,41_AND_AN,41,Asia_Trop,Andaman_Nicobar,NA,5,NA,NA,NA,7,11,NA,5901.964373,ISL,1,265607.9023,35.77074682,NA,265.8668937,2918.44558,12.2676438,92.77713208,NA,NA,14.51485292,25.17809013,16.93537169
Coco_Is.,41_AND_CO,41,Asia_Trop,Andaman_Nicobar,NA,NA,NA,NA,NA,0,5,NA,33.8115797,ISL,1,129207.1874,10.44657882,NA,272.2195122,2234.219512,14.41496376,93.51174477,NA,NA,0,0,0
Angola,26_ANG_OO,26,Africa,Angola,229,NA,NA,NA,NA,2,6,3,1240511.656,MAINL,1,NA,10.91240316,4218.6,216.0221632,1019.378825,-12.3357622,17.57181504,2.533397138,82.8,3.201944517,3.561009856,5.394792853
Antarctica,91_ANT_OO,91,Antarctic,Antarctica,2,NA,0,0,NA,0,0,NA,90240.35516,MAINL,1,NA,NA,NA,NA,NA,-70.22768539,-63.92517379,NA,100,NA,NA,NA
Arizona,76_ARI_OO,76,America_N,USA,644,14,5,6,15,11,9,10,294312.7009,MAINL,0,NA,17.50049038,35783,150.1995882,320.6476448,34.29669616,-111.6575963,48.31909038,100,48.18734179,51.15990138,83.1178917
Arkansas,78_ARK_OO,78,America_N,USA,706,11,1,1,7,6,7,5,137545.2584,MAINL,0,NA,19.57493471,33987,156.9174271,1263.315269,34.90084347,-92.44235749,4.73920418,100,26.08009207,44.53748849,94.32504348
Aruba,81_ARU_OO,81,America_S,Aruba,32,10,2,7,NA,3,5,NA,206.3955792,ISL,1,27075.02658,412.2044687,24289.1,273.1653226,419.2217742,12.51668736,-69.97713313,NA,NA,1.467741935,5.403225806,7.330645161
Ascension,28_ASC_OO,28,Africa,St_Helena,157,8,0,1,NA,6,6,1,98.41528451,ISL,1,1536296.21,5.012754817,34266.97,253.1864407,189,-7.938079755,-14.3632866,NA,NA,NA,NA,NA
Alaska,70_ASK_OO,70,America_N,USA,288,NA,2,0,0,1,21,6,1302450.175,MAINL,1,NA,0.384246936,45826,-60.72612274,375.1608133,64.89113421,-153.6829385,43.83299211,100,36.60233524,46.47879174,46.24916785
Amsterdam-St._Paul_Is.,90_ASP_OO,90,Antarctic,Amsterdam-St._Paul_Is.,NA,NA,NA,NA,NA,3,4,NA,71.99472505,ISL,1,3369859.523,0,31299.3,127.8785047,1147.588785,-37.97877628,77.53284994,NA,NA,NA,NA,NA
Assam,40_ASS_AS,40,Asia_Trop,India,297,4,NA,NA,NA,1,2,NA,79090.62639,MAINL,0,NA,332.7303922,2080.76,237.8481453,2407.934783,26.3430472,92.8312049,0.412250242,84.8,2.881491552,9.771441057,29.41130317
Manipur,40_ASS_MA,40,Asia_Trop,India,259,4,NA,NA,NA,1,2,NA,21742.58218,MAINL,0,NA,107.4419651,2061,200.7103172,1899.056204,24.72499615,93.88349026,0.204959891,69.6,20.84717549,1.79730794,8.236235412
Meghalaya,40_ASS_ME,40,Asia_Trop,India,276,7,NA,NA,NA,1,2,NA,22516.64666,MAINL,0,NA,106.5898138,3133,214.0746171,3914.385722,25.53506569,91.28002793,NA,90.2,3.050683332,11.97129318,24.53557448
Mizoram,40_ASS_MI,40,Asia_Trop,India,251,1,NA,NA,NA,1,2,NA,20851.10398,MAINL,0,NA,42.35676402,2080.76,226.0175783,2481.039268,23.29777463,92.83116618,0.698421053,50,14.32327424,0.308826858,13.62893248
